vc_code,sub,pcf,oaf,vc_code_full,description
25400,B,14,39,25400B,"Equipment - flashing amber warning lamp, sub (b)"
25500,A,14,39,25500A,"Equipment - siren restriction - non-emergency vehicles, sub (a)"
25651,A,14,39,25651A,"Equipment - turn signal lamp specifications, sub (a)"
25803,A,14,39,25803A,"Equipment - brake light visibility requirement, sub (a)"
25950,A,14,39,25950A,"Equipment - windshield material requirements, sub (a)"
21650,0,5,27,21650,Driving - right side of road - required
21652,0,17,44,21652,Driving - entering highway - yield required
21656,0,2,22,21656,Driving - slow vehicle - turnout required
21657,0,17,44,21657,Driving - designated lanes - use requirement
21659,0,0,21,21659,Driving - three-lane highway - rules
21660,0,5,27,21660,Driving - approaching vehicles - headlights required
21661,0,9,33,21661,Driving - right of way on narrow mountain road
21663,0,17,44,21663,Driving - driving on sidewalk prohibited
21664,0,17,44,21664,Driving - freeway - entering/exiting rules
21700,0,17,44,21700,Driving - obstructed driver vision/control - prohibited
21701,0,17,44,21701,Driving - interference with driver - prohibited
21703,0,4,30,21703,Driving - following too closely prohibited
21705,0,4,30,21705,Driving - caravan spacing - convoy rules
21706,0,4,30,21706,Driving - following emergency vehicle - prohibited
21707,0,17,44,21707,Driving - driving in fire area - prohibited
21708,0,17,44,21708,Driving - crossing fire hose - prohibited
21709,0,17,44,21709,Driving - safety zone - driving through prohibited
21710,0,17,44,21710,Driving - coasting out of gear - prohibited
21711,0,17,44,21711,Driving - towed vehicle - swerving prohibition
21713,0,0,47,21713,Driving - special construction equipment rules
21716,0,17,44,21716,Driving - towing motor vehicle - safety chain required
21717,0,8,31,21717,Driving - U-turn in business district - signal required
21750,0,6,29,21750,Passing - overtaking on left side required
21751,0,6,29,21751,Passing - passing on left side only
21753,0,17,44,21753,Passing - overtaken vehicle - yield required
21754,0,6,29,21754,Passing - passing on right - permissible conditions
21755,0,6,29,21755,Passing - passing on right - when permitted
21757,0,6,29,21757,Passing - passing streetcar - prohibited
21758,0,6,29,21758,Passing - passing vehicle on grade - rules
21759,0,6,29,21759,Passing - passing animal on road - required care
21951,0,6,29,21951,Pedestrian - passing vehicle stopped for pedestrian - prohibited
21952,0,10,34,21952,Pedestrian - driver yield to blind pedestrian required
21953,0,11,35,21953,Pedestrian - use of pedestrian tunnel/overhead crossing
21955,0,11,35,21955,Pedestrian - crossing between controlled intersections - prohibited
21956,0,11,35,21956,Pedestrian - walking on roadway rules
21957,0,11,35,21957,Pedestrian - hitchhiking on roadway - prohibited
21959,0,11,35,21959,Pedestrian - skiing/sledding on roadway - prohibited
21963,0,10,34,21963,Pedestrian - blind person right of way
21964,0,11,35,21964,Pedestrian - white cane right of way rules
25952,A,14,39,25952A,"Equipment - side window requirements, sub (a)"
26302,A,15,40,26302A,"Equipment - brake hose requirements, sub (a)"
26304,A,15,40,26304A,"Equipment - wheel cylinder requirements, sub (a)"
26311,A,15,40,26311A,"Equipment - brake adjustment requirement, sub (a)"
21966,0,11,35,21966,Pedestrian - bicycle path - walking rules
21968,0,17,44,21968,Pedestrian - motorized vehicle on bicycle path prohibited
26451,A,15,40,26451A,"Equipment - service brake performance standard, sub (a)"
26454,A,15,40,26454A,"Equipment - parking brake requirement, sub (a)"
22102,0,8,. ,22102,Turning - U-turn in business district - general rules
22103,0,8,31,22103,Turning - U-turn in residential district
22104,0,8,31,22104,Turning - U-turn near fire station - prohibited
22105,0,8,31,22105,Turning - U-turn - visibility 200 feet required
22106,0,21,53,22106,Turning - starting/backing - safe movement required
26502,A,15,40,26502A,"Equipment - steering system requirements, sub (a)"
22107,0,8,31,22107,Turning - unsafe turn - signal required
22108,0,8,31,22108,Turning - turn signal - 100 feet before turn required
22109,0,17,44,22109,Turning - signal before stopping required
26506,A,15,40,26506A,"Equipment - steering component requirements, sub (a)"
22110,0,16,43,22110,Turning - signal - mechanical or electrical device required
22112,0,17,44,22112,Turning - school bus - signal arm requirements
26508,A,15,40,26508A,"Equipment - wheel/rim requirements, sub (a)"
26508,G,15,40,26508G,"Equipment - wheel/rim requirements, sub (g)"
22350,0,3,25,22350,Speed - basic speed law - unsafe speed prohibited
26508,K,15,40,26508K,"Equipment - wheel/rim requirements, sub (k)"
22407,0,3,25,22407,Speed - towing vehicle combination - speed limit
26700,A,16,43,26700A,"Equipment - windshield required - general, sub (a)"
22409,0,3,25,22409,Speed - solid tire vehicle - speed limit
22410,0,3,25,22410,Speed - metal tire vehicle - speed limit
26701,A,16,43,26701A,"Equipment - windshield glass requirements, sub (a)"
26701,E,16,43,26701E,"Equipment - windshield glass requirements, sub (e)"
22450,0,12,24,22450,Stop required - stop sign/limit line compliance
26703,A,16,43,26703A,"Equipment - side/rear window glass, sub (a)"
22510,0,13,38,22510,Parking - snow removal zone restriction
26706,A,16,43,26706A,"Equipment - side window tinting restriction, sub (a)"
26708,A,16,43,26708A,"Equipment - window obstruction/sticker restriction, sub (a)"
26709,A,16,43,26709A,"Equipment - rear view mirror driver side required, sub (a)"
22513,0,13,38,22513,Parking - tow truck notification requirements
27000,A,16,43,27000A,"Equipment - horn requirement, sub (a)"
22514,0,13,38,22514,Parking - fire hydrant - 15 foot clearance required
27001,A,17,44,27001A,"Equipment - horn use restriction, sub (a)"
27150,A,16,49,27150A,"Equipment - exhaust system requirements, sub (a)"
27314,5,0,47,273145,"Equipment - mudguard material requirement, sub (.5)"
27315,D,17,62,27315D,"Equipment - seat belt requirement, sub (d)"
27450,A,16,43,27450A,"Equipment - tire chain requirement, sub (a)"
22516,0,0,47,22516,Parking - person locked in vehicle - driver duty
27455,B,0,47,27455B,"Equipment - tire width requirements, sub (b)"
27465,B,16,43,27465B,"Equipment - tire tread depth requirement, sub (b)"
27501,B,16,43,27501B,"Equipment - mudguards/mudflaps requirement, sub (b)"
21116,A,17,44,21116A,"Local regulation - highway closure by local authority, sub (a)"
21200,5,1,20,212005,"Bicycle - DUI on bicycle, sub (.5)"
21201,A,15,40,21201A,"Bicycle - equipment - brakes required, sub (a)"
21202,A,17,44,21202A,"Bicycle - riding as far to the right as practicable, sub (a)"
21204,A,17,44,21204A,"Bicycle - required seating for riders, sub (a)"
21207,5,17,44,212075,"Bicycle - motorized bicycle on bicycle path, sub (.5)"
21208,A,17,21,21208A,"Bicycle - bicycle lane - required use, sub (a)"
21209,A,17,21,21209A,"Bicycle - motor vehicle in bicycle lane, sub (a)"
21211,A,0,38,21211A,"Bicycle - bicycle lane obstruction prohibition, sub (a)"
21367,B,12,23,21367B,"Traffic device - vandalism of traffic control device, sub (b)"
21451,A,17,44,21451A,"Traffic signal - green signal - proceed lawfully, sub (a)"
21452,B,12,23,21452B,"Traffic signal - yellow signal - stop required, sub (b)"
21453,A,12,23,21453A,"Traffic signal - red signal - stop required, sub (a)"
21454,C,17,44,21454C,"Traffic signal - flashing green - rules, sub (c)"
27700,A,16,43,27700A,"Equipment - load cover requirement, sub (a)"
27801,A,16,43,27801A,"Equipment - motorcycle passenger seat requirement, sub (a)"
27803,B,0,44,27803B,"Equipment - motorcycle helmet passenger required, sub (b)"
27904,5,0,47,279045,"Equipment - motorcycle equipment requirement, sub (.5)"
28050,5,0,47,280505,"Equipment - miscellaneous equipment requirement, sub (.5)"
28060,B,16,43,28060B,"Equipment - emission control system, sub (b)"
28080,A,16,43,28080A,"Equipment - fuel system vapor recovery, sub (a)"
28085,C,16,43,28085C,"Equipment - gas cap requirement, sub (c)"
29003,A,16,43,29003A,"Towing - hitch/coupling requirement, sub (a)"
29004,A,16,43,29004A,"Towing - safety chain requirement, sub (a)"
29006,A,16,43,29006A,"Towing - brakes on towed vehicle required, sub (a)"
29200,C,16,43,29200C,"Towing - drawbar length limit, sub (c)"
29800,C,16,43,29800C,"Loading - load securement requirement, sub (c)"
30800,B,16,43,30800B,"Loading - log/pole load securement, sub (b)"
31301,A,17,44,31301A,"Loading - hazardous cargo regulations, sub (a)"
31303,A,17,44,31303A,"Loading - explosive transport regulations, sub (a)"
31400,A,16,43,31400A,"Loading - passenger vehicle load limit, sub (a)"
31401,B,0,47,31401B,"Loading - projecting load regulations, sub (b)"
31510,D,16,43,31510D,"Loading - vehicle transport special requirements, sub (d)"
31520,B,16,43,31520B,"Loading - mobile home transport requirement, sub (b)"
31530,B,16,43,31530B,"Loading - manufactured home transport requirement, sub (b)"
31540,B,16,43,31540B,"Loading - vehicle transport tie-down requirement, sub (b)"
31602,A,0,47,31602A,"Explosives - transport permit conditions, sub (a)"
31610,A,16,43,31610A,"Explosives - transport regulations, sub (a)"
31610,E,16,43,31610E,"Explosives - transport regulations, sub (e)"
31614,A,17,44,31614A,"Explosives - warning device requirement, sub (a)"
31614,E,17,44,31614E,"Explosives - warning device requirement, sub (e)"
31614,I,17,44,31614I,"Explosives - warning device requirement, sub (i)"
32052,A,0,47,32052A,"Hazmat - radioactive material transport prohibition, sub (a)"
34501,2,0,44,345012,"Safety regulations - terminal inspection program, sub (.2)"
34506,F,16,43,34506F,"Safety regulations - hours of service violation, sub (f)"
22517,0,17,47,22517,Parking - opening door into traffic - prohibited
22520,0,13,38,22520,Parking - freeway parking prohibited
22521,0,13,38,22521,Parking - freeway ramp parking prohibited
22522,0,13,38,22522,Parking - within 3 feet of curb ramp prohibited
22650,0,0,47,22650,Parking - abandoned vehicle - authority to remove from highway
22951,0,0,47,22951,Parking lot - traffic rules applicability
23111,0,17,47,23111,Throwing lighted substance from vehicle prohibited
23115,0,17,44,23115,Rubbish vehicle - covering load required
23120,0,17,44,23120,Driving wearing earplugs/headset prohibited
23127,0,0,47,23127,Driving motor vehicle on trail/path prohibited
23129,0,17,44,23129,Truck restriction on certain highway roads
23135,0,16,43,23135,Driving under influence of drugs (historical provision)
23220,0,0,47,23220,Alcohol - drinking in moving vehicle prohibited
23221,0,0,47,23221,Alcohol - passenger drinking in vehicle prohibited
23223,0,0,47,23223,Alcohol - open container in vehicle - driver prohibition
23225,0,0,47,23225,Alcohol - open container storage requirement
23226,0,0,47,23226,Alcohol - open container in passenger area
23253,0,17,44,23253,Vehicular crossing - obedience to traffic officers required
23302,0,17,44,23302,Toll evasion - evading toll payment prohibited
23330,0,17,47,23330,Toll road - prohibited acts on toll road - general
23331,0,11,35,23331,Toll road - pedestrian prohibition on toll road
23332,0,17,47,23332,Toll road - stopping/standing prohibition
23333,0,13,38,23333,Toll road - parking/abandoned vehicle prohibition
23336,0,17,44,23336,Toll road - local authority jurisdiction
24003,0,14,39,24003,Equipment - speedometer requirement
24004,0,17,44,24004,Equipment - odometer requirement
34507,5,0,47,345075,"Safety regulations - carrier identification requirement, sub (.5)"
24005,0,0,47,24005,Equipment - vehicle identification number requirement
24008,0,16,43,24008,Equipment - windshield wiper requirement
35104,A,0,51,35104A,"Size/weight - load width permit, sub (a)"
24012,0,14,39,24012,Equipment - motorcycle headlamp requirement
35250,A,17,51,35250A,"Size/weight - vehicle height limit, sub (a)"
24250,0,17,44,24250,Equipment - lighting required during darkness/inclement weather
35400,A,0,51,35400A,"Size/weight - vehicle length limit, sub (a)"
35401,A,0,51,35401A,"Size/weight - vehicle combination length limit, sub (a)"
35406,A,0,51,35406A,"Size/weight - truck/trailer combination length, sub (a)"
24400,0,14,39,24400,Equipment - headlamp visibility distance required
35411,A,0,51,35411A,"Size/weight - bus length limit, sub (a)"
24401,0,17,44,24401,Equipment - single headlamp requirement
35550,A,0,50,35550A,"Size/weight - gross vehicle weight limit, sub (a)"
24403,0,14,39,24403,Equipment - spot lamp restriction
35551,A,0,50,35551A,"Size/weight - gross vehicle weight limit, sub (a)"
24406,0,14,39,24406,Equipment - interior lamp restrictions
35552,A,0,50,35552A,"Size/weight - axle weight limit, sub (a)"
35655,A,0,50,35655A,"Size/weight - special permit vehicle requirements, sub (a)"
24411,0,14,39,24411,"Equipment - turn signal - vehicles 14,000 lbs or over"
35753,A,0,50,35753A,"Size/weight - manufactured home transport permit, sub (a)"
35784,A,17,44,35784A,"Size/weight - special transport speed limit, sub (a)"
35785,B,3,25,35785B,"Size/weight - special transport daylight restriction, sub (b)"
24601,0,14,39,24601,Equipment - taillamp visibility requirement
35786,B,17,44,35786B,"Size/weight - special transport escort required, sub (b)"
35790,G,17,44,35790G,"Size/weight - oversize load conditions, sub (g)"
36600,B,0,51,36600B,"Implements of husbandry - size/width limit exception, sub (b)"
24604,0,16,43,24604,"Equipment - signal lamp - vehicle over 24,000 lbs required"
36610,B,0,51,36610B,"Implements of husbandry - length limit, sub (b)"
24607,0,14,39,24607,Equipment - turn signal lamp requirement - general
24609,0,14,39,24609,Equipment - school bus lamp requirements
24610,0,14,39,24610,Equipment - farm equipment lighting requirement
38010,A,0,60,38010A,"Off-highway - required equipment general, sub (a)"
38026,5,17,60,380265,"Off-highway - spark arrester requirement, sub (.5)"
38060,A,0,60,38060A,"Off-highway - helmet required under 18, sub (a)"
24615,0,16,43,24615,Equipment - side marker lamp requirements
24800,0,17,44,24800,Equipment - reflector requirements - general
24950,0,14,39,24950,Equipment - brake performance requirement - general
24952,0,14,39,24952,Equipment - service brake requirement
38085,A,0,60,38085A,"Off-highway - headlamp specifications, sub (a)"
25102,0,14,39,25102,Equipment - identification lamp requirements
38170,A,0,60,38170A,"Off-highway - muffler requirement, sub (a)"
25104,0,16,43,25104,Equipment - lamp color restrictions
25107,0,14,39,25107,Equipment - lighting on side of vehicle
38316,A,0,60,38316A,"Off-highway - chemical/waste dumping prohibition, sub (a)"
38318,A,0,60,38318A,"Off-highway - DUI on off-highway vehicle, sub (a)"
38320,A,0,60,38320A,"Off-highway - accident reporting requirement, sub (a)"
25109,0,14,39,25109,Equipment - lighting on combination vehicles
25250,0,14,39,25250,Equipment - rear reflector requirement
38345,A,14,60,38345A,"Off-highway - registration required on public lands, sub (a)"
38355,A,15,60,38355A,"Off-highway - registration display requirement, sub (a)"
38365,A,0,60,38365A,"Off-highway - ownership certificate requirement, sub (a)"
25252,0,14,39,25252,Equipment - reflector placement requirement
39002,A,0,46,39002A,"Off-highway - OHV registration fee requirement, sub (a)"
40001,A,0,47,40001A,"Violation classification - infraction designation, sub (a)"
25,5,0,47,255,"General - false personation, sub (.5)"
241,B,0,10,00241B,"Div 1 definitions - autonomous vehicle definition, sub (b)"
2525,6,0,47,25256,"Administration - license plate requirements, sub (.6)"
2800,1,17,44,28001,"Administration - failure to yield to peace officer - misdemeanor, sub (.1)"
2800,2,0,44,28002,"Administration - evading peace officer - reckless/felony, sub (.2)"
2800,3,0,44,28003,"Administration - evading peace officer - injury/death, sub (.3)"
2803,C,17,44,02803C,"Administration - vehicle inspection, sub (c)"
25253,0,14,39,25253,Equipment - reflector color requirements
25254,0,17,47,25254,Equipment - trailer reflectors requirement
2807,1,0,47,28071,"Administration - bus inspection requirement, sub (.1)"
25262,0,17,47,25262,Equipment - reflector visibility requirement
4000,4,0,46,40004,"Registration - registration renewal, sub (.4)"
4462,B,0,46,04462B,"Registration - license plate alteration, sub (b)"
4462,5,0,46,44625,"Registration - license plate alteration, sub (.5)"
25265,0,17,47,25265,Equipment - reflective material requirements
4463,B,0,46,04463B,"Registration - use of unissued plate, sub (b)"
4463,C,0,46,04463C,"Registration - use of unissued plate, sub (c)"
5201,B,0,46,05201B,"Registration - license plate display, sub (b)"
25266,0,17,47,25266,Equipment - reflective tape on trailers
25268,0,17,47,25268,Equipment - reflective material - wide vehicles
5201,C,0,46,05201C,"Registration - license plate display, sub (c)"
5201,D,0,46,05201D,"Registration - license plate display, sub (d)"
5900,B,0,46,05900B,"Registration - dealer report of vehicle sale, sub (b)"
5900,C,0,46,05900C,"Registration - dealer report of vehicle sale, sub (c)"
5901,B,0,46,05901B,"Registration - dealer license plate, sub (b)"
25269,0,17,47,25269,Equipment - reflective sheeting requirements
5901,C,0,46,05901C,"Registration - dealer license plate, sub (c)"
25270,0,17,47,25270,Equipment - retroreflective sheeting requirement
25275,0,17,47,25275,Equipment - retroreflective sheeting - trailers
25401,0,14,39,25401,Equipment - school bus flashing red light requirement
25452,0,14,39,25452,Equipment - bicycle lighting requirements
11108,B,0,47,11108B,"Occupational - dealer prohibited acts, sub (b)"
11108,C,0,47,11108C,"Occupational - dealer prohibited acts, sub (c)"
11713,J,0,47,11713J,"Occupational - dealer prohibited acts, sub (j)"
11725,B,0,46,11725B,"Occupational - dealer license plate use restriction, sub (b)"
12500,B,0,47,12500B,"Driver license - driving without valid license, sub (b)"
12500,C,0,47,12500C,"Driver license - driving without valid license, sub (c)"
12515,B,0,47,12515B,"Driver license - minimum age requirement, sub (b)"
12951,B,0,47,12951B,"Driver license - failure to display license on demand, sub (b)"
13004,B,0,47,13004B,"Identification card - fraudulent use, sub (b)"
13004,C,0,47,13004C,"Identification card - fraudulent use, sub (c)"
13004,D,0,47,13004D,"Identification card - fraudulent use, sub (d)"
13004,F,0,47,13004F,"Identification card - fraudulent use, sub (f)"
13004,G,0,47,13004G,"Identification card - fraudulent use, sub (g)"
14600,B,0,47,14600B,"Driver license - failure to carry and display license, sub (b)"
14601,1,0,47,146011,"Driver license - driving with suspended/revoked license, sub (.1)"
14601,2,0,47,146012,"Driver license - driving with suspended license for DUI, sub (.2)"
14601,4,0,47,146014,"Driver license - driving with suspended license - injury, sub (.4)"
14610,B,0,47,14610B,"Driver license - license fraud/alteration, sub (b)"
14610,C,0,47,14610C,"Driver license - license fraud/alteration, sub (c)"
14610,D,0,47,14610D,"Driver license - license fraud/alteration, sub (d)"
14610,F,0,47,14610F,"Driver license - license fraud/alteration, sub (f)"
14610,G,0,47,14610G,"Driver license - license fraud/alteration, sub (g)"
25650,0,17,44,25650,Equipment - turn signal use requirements
25805,0,14,39,25805,Equipment - turn signal lamp requirements
25951,0,14,39,25951,Equipment - windshield obstruction prohibition
26100,0,14,39,26100,Equipment - brake system - general requirement
26101,0,14,39,26101,Equipment - brake system - commercial vehicle requirement
26301,0,15,40,26301,Equipment - brake fluid requirements
26303,0,15,40,26303,Equipment - brake tubing requirements
26307,0,15,40,26307,Equipment - power brake requirements
26450,0,15,40,26450,Equipment - service brake requirement - general
26452,0,15,40,26452,Equipment - service brake - dual circuit requirement
26453,0,15,40,26453,Equipment - vacuum/hydraulic brake reserve requirement
26456,0,15,40,26456,Equipment - brake on trailer with chain required
26457,0,15,40,26457,Equipment - trailer brake requirements
26458,0,15,40,26458,Equipment - trailer brake control requirements
26503,0,15,40,26503,Equipment - steering play limits
26504,0,15,40,26504,Equipment - power steering fluid level requirement
26505,0,15,40,26505,Equipment - power steering pump requirements
26507,0,15,40,26507,Equipment - steering linkage requirements
26520,0,15,40,26520,Equipment - tire requirements - general
26521,0,15,40,26521,Equipment - tire size/load rating requirement
26522,0,15,40,26522,Equipment - tire tread depth requirement
26705,0,16,43,26705,Equipment - windshield tinting restrictions
26707,0,16,43,26707,Equipment - windshield obstruction restriction
26710,0,16,43,26710,Equipment - defective windshield/rear window prohibited
26711,0,16,43,26711,Equipment - windshield wiper requirement
26712,0,16,43,26712,Equipment - windshield washer requirement
27002,0,16,43,27002,Equipment - siren restriction for non-emergency vehicles
27003,0,17,44,27003,Equipment - warning device for non-motorized vehicles
27007,0,16,43,27007,Equipment - backup alarm requirements
27151,0,0,49,27151,Equipment - exhaust - visible smoke prohibition
27152,0,16,43,27152,Equipment - exhaust cutout prohibition
27153,0,0,48,27153,Equipment - exhaust emission standards
27154,0,16,43,27154,Equipment - catalytic converter requirement
27155,0,16,43,27155,Equipment - fuel cap requirements
27156,0,16,43,27156,Equipment - smog device tampering prohibition
14610,H,0,47,14610H,"Driver license - license fraud/alteration, sub (h)"
27158,0,16,43,27158,Equipment - emissions system requirement
27304,0,16,43,27304,Equipment - mudguard requirements
20002,B,0,19,20002B,"Hit-and-run - property damage - duty to stop, sub (b)"
20008,B,0,47,20008B,"Accident report - written report to DMV required, sub (b)"
27305,0,16,43,27305,Equipment - fender requirements
21201,B,16,43,21201B,"Bicycle - equipment - light and reflector required, sub (b)"
21201,C,16,43,21201C,"Bicycle - equipment - reflector required, sub (c)"
21201,D,14,39,21201D,"Bicycle - equipment - handlebar height, sub (d)"
